Title,Body,Labels,Milestone,Priority,Component,Phase,Risk,DependsOn
Agent: initialize scaffolding + /health,"Create agent skeleton, config loader, and /health endpoint (public).

Acceptance Criteria:
- Agent starts locally
- /health returns ok + timestamp
- Structured JSON logs","type:feature,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,Low,
Auth: /pair/start short-lived codes + rate limits,"Implement POST /pair/start; issues short-lived pairing code.

Acceptance Criteria:
- Codes expire <= 3 minutes
- Rate limited
- No secrets in responses

Depends on: Agent: initialize scaffolding + /health","type:security,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,High,Agent: initialize scaffolding + /health
Auth: /pair/confirm token minting + rotation policy,"Implement POST /pair/confirm; exchanges code for access token.

Acceptance Criteria:
- Short-lived access tokens
- Optional refresh token
- Failed attempts logged (redacted)

Depends on: Auth: /pair/start short-lived codes + rate limits","type:security,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,High,Auth: /pair/start short-lived codes + rate limits
Auth: middleware + public-route allowlist,"Enforce auth across endpoints; only /health and /pair/* public.

Acceptance Criteria:
- 401/403 consistent with OpenAPI
- Deny-by-default

Depends on: Auth: /pair/confirm token minting + rotation policy","type:security,component:agent,phase:1,priority:P0",Phase 1 — Foundations,P0,Agent,Phase 1,High,Auth: /pair/confirm token minting + rotation policy
System: /system/info (normalized),"Implement GET /system/info with OS/arch/cpu/mem/disk/hostname.

Acceptance Criteria:
- Works on macOS + Linux
- Safe defaults if unknown

Depends on: Auth: middleware + public-route allowlist","type:feature,component:agent,phase:1,priority:P1",Phase 1 — Foundations,P1,Agent,Phase 1,Medium,Auth: middleware + public-route allowlist
MoltBot: detect installed/version/config path,"Implement MoltBot detection and /moltbot/status response.

Acceptance Criteria:
- Returns installed/running/version/config_path
- Handles unknowns safely

Depends on: System: /system/info (normalized)","type:feature,component:agent,phase:1,priority:P1",Phase 1 — Foundations,P1,Agent,Phase 1,Medium,System: /system/info (normalized)
OpenAPI: lint + contract tests wired into CI,"Add OpenAPI lint and contract tests to CI to prevent drift.

Acceptance Criteria:
- CI fails on spec drift
- Contract tests run against agent","type:chore,component:docs,phase:1,priority:P1",Phase 1 — Foundations,P1,Docs,Phase 1,Low,
SDK: generate TS types/client from OpenAPI,"Generate TS client/types in packages/sdk.

Acceptance Criteria:
- Used by web + mobile
- Published internally

Depends on: OpenAPI: lint + contract tests wired into CI","type:feature,component:sdk,phase:1,priority:P2",Phase 1 — Foundations,P2,SDK,Phase 1,Low,OpenAPI: lint + contract tests wired into CI
Web: pairing screen + secure token storage,"Implement web pairing UI and secure token persistence.

Acceptance Criteria:
- Can call /system/info
- Token not exposed to JS (preferred)

Depends on: Auth: /pair/confirm token minting + rotation policy","type:feature,component:web,phase:1,priority:P1",Phase 1 — Foundations,P1,Web,Phase 1,Medium,Auth: /pair/confirm token minting + rotation policy
Web: overview dashboard v0,"Overview tiles: installed/running/gateway + last event snippet.

Acceptance Criteria:
- Updates fast
- Clear empty/error states

Depends on: MoltBot: detect installed/version/config path","type:feature,component:web,phase:1,priority:P2",Phase 1 — Foundations,P2,Web,Phase 1,Low,MoltBot: detect installed/version/config path
